sit,Mid,Mid,North,North,South,South
pro,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2019-07-01 08:00:00,32079.3014016,13160.0575396,7785.90026953,1603.82395766,1031.84100293,2737.72914506
2019-07-01 09:00:00,32728.7631313,14868.4538263,7750.47721694,1837.30447238,665.932824971,3441.88481551
2019-07-01 10:00:00,30578.505401,16041.5552393,7623.52132263,1989.01754946,595.094138819,3799.35829776
2019-07-01 11:00:00,28092.3633608,16652.1720765,7469.56695886,2027.43839365,538.720090671,3975.54753398
2019-07-01 12:00:00,25734.3155274,17662.1861704,7487.70998546,1938.77490705,518.706073907,4044.40928127
2019-07-01 13:00:00,26247.2812438,16403.62232,7518.47827579,1825.48267417,268.984958565,4044.36181224
2019-07-01 14:00:00,28208.676851,14196.2561944,7666.69085029,1641.25965201,331.435590065,3951.49655607
2019-07-01 15:00:00,32051.3576785,11679.5101928,8023.17729364,1373.29889249,421.553124577,3717.60079586
2019-07-01 16:00:00,36445.7968145,8752.24676622,8384.67404115,1024.55584519,887.374750307,3249.93585955
2019-07-01 17:00:00,40579.8268052,5045.78271566,8667.25384439,682.708846843,1944.68295562,2225.80724478
2019-07-01 18:00:00,43224.9201152,2031.73362802,8850.96312061,399.970839564,3624.327006,657.683484842
2019-07-01 19:00:00,45304.3893582,85.8186899352,9020.1363685,212.792367847,4300.69437513,62.4217814917
2019-07-01 20:00:00,46803.5777067,0.0,9118.57616498,76.8416883892,4573.2535634,0.0
2019-07-01 21:00:00,43708.7689575,0.0,8923.45221162,23.6435964275,5033.15955456,0.0
2019-07-01 22:00:00,40666.8054368,0.0,8597.67606303,11.8217982137,4837.76863246,0.0
2019-07-01 23:00:00,39090.0959809,0.0,8388.41075709,14.7772477672,4495.8345188,0.0
2019-07-02 00:00:00,38198.4528516,0.0,8273.10434294,29.5544955343,4122.56412517,0.0
2019-07-02 01:00:00,38316.6339991,0.0,8114.46698888,56.1535415152,3925.32989249,0.0
2019-07-02 02:00:00,39495.5630073,0.0,7905.74673596,94.5743857098,3738.23386803,0.0
2019-07-02 03:00:00,42332.0207519,181.485217678,8158.62179557,179.297272908,3697.68103514,0.0
2019-07-02 04:00:00,50436.6094309,560.957779177,9049.15055874,327.06975058,3693.07275867,0.0
2019-07-02 05:00:00,56590.6051692,1502.63500371,9933.21400351,558.579965599,3738.74999819,53.861532116
2019-07-02 06:00:00,59146.5929763,3326.07541113,10199.3925641,858.065520346,3402.20180098,511.146572701
2019-07-02 07:00:00,58545.1663283,5151.58971721,10204.9730703,1139.81837777,2928.71991726,1659.28013083
2019-07-02 08:00:00,58185.2472495,7195.83035371,10145.8688269,1378.22464175,2734.91084502,2810.6890524
2019-07-02 09:00:00,58232.941513,8846.86998298,10065.6535329,1544.71496659,2479.05240143,3490.50893073
2019-07-02 10:00:00,55941.7521852,9893.79438367,9995.6013978,1640.27450215,2344.57665451,3830.51380796
2019-07-02 11:00:00,54816.9925743,10011.6121848,9932.17432463,1613.67545617,2306.64761462,4005.76948649
2019-07-02 12:00:00,54271.0205406,9283.53379893,9850.22520264,1683.6210956,1843.70121544,4071.48245443
2019-07-02 13:00:00,52807.9875652,9572.44187786,9821.99253713,1506.2941224,2045.89239314,4056.38730119
2019-07-02 14:00:00,51823.8215178,8750.2619307,9702.71100829,1311.23445187,2245.94313739,3949.42374153
2019-07-02 15:00:00,52921.4261568,7035.809351,9891.80024461,1053.12519087,2425.17278164,3707.52153736
2019-07-02 16:00:00,54204.5817946,5196.3375797,9925.27647781,774.327782999,2802.37673161,3248.29026632
2019-07-02 17:00:00,54971.5957741,3061.11259158,9963.71605457,509.322473041,3602.09908185,2250.4120281
2019-07-02 18:00:00,53495.9433744,1763.83172509,9925.97331844,315.247952366,5051.32174893,673.079275309
2019-07-02 19:00:00,53377.4888074,99.0000335634,9830.4857633,171.416074099,5594.24345963,63.798383517
2019-07-02 20:00:00,52320.6195689,0.0,9763.71793112,73.8862388358,5611.03742321,0.0
2019-07-02 21:00:00,47622.1983383,0.0,9411.60897581,24.6287462786,5964.0314004,0.0
2019-07-02 22:00:00,44085.4113138,0.0,8914.78320083,12.8069480649,5630.39218436,0.0
2019-07-02 23:00:00,42252.1622937,0.0,8558.99051909,16.7475474694,5036.84617573,0.0
2019-07-03 00:00:00,41366.2840985,0.0,8437.68236366,31.5247952366,4605.51149865,0.0
2019-07-03 01:00:00,41417.2076824,0.0,8235.48696426,55.1683916641,4220.25958622,0.0
2019-07-03 02:00:00,42351.1269945,0.0,8086.87496628,99.5001349655,4139.15392044,0.0
2019-07-03 03:00:00,44480.5377458,83.3630921357,8163.22177046,169.445774397,4044.22342527,0.0
2019-07-03 04:00:00,50220.6718179,1275.56218543,8921.62921015,295.544955343,4084.77625816,0.0
2019-07-03 05:00:00,54586.9659727,3110.41539714,9824.55459211,501.441274232,4063.83330718,52.2792309375
2019-07-03 06:00:00,53800.0343796,6934.50639929,10114.2028915,749.69903672,3712.72500253,497.39637546
2019-07-03 07:00:00,51765.1598365,10068.5616965,10211.9395601,991.060750251,3246.85426863,1630.54554143
2019-07-03 08:00:00,51625.0180144,11869.9653402,10261.5792831,1210.74916706,3055.2328332,2777.00186031
2019-07-03 09:00:00,53383.7817804,12131.8109501,10211.7971388,1372.31374264,2695.78856642,3469.16368783
2019-07-03 10:00:00,52821.0426001,12263.1409009,10053.4166577,1448.17028118,2511.75725521,3803.42481179
2019-07-03 11:00:00,52381.7418992,11683.0091016,10031.7057667,1451.12573073,2496.86203757,3969.47149746
2019-07-03 12:00:00,51971.8159992,10914.9668157,9883.77662447,1442.25938207,2025.61247781,4044.40928127
2019-07-03 13:00:00,52666.5371982,9344.93646722,9961.6723641,1320.10080053,2214.21182896,4039.21933341
2019-07-03 14:00:00,53367.4874274,7399.7213109,9865.6695235,1175.28377241,2344.74271038,3936.33811078
2019-07-03 15:00:00,55184.3347048,5428.18163723,9927.60706715,991.060750251,2554.81854294,3683.86613474
2019-07-03 16:00:00,56707.9227244,3463.5761646,9948.82923206,744.773287465,2966.79278815,3210.14098491
2019-07-03 17:00:00,56822.9091048,1967.88808523,9983.64615702,504.396723786,3737.88879521,2203.10122287
2019-07-03 18:00:00,55395.6547364,701.957441425,9911.25714529,301.45585445,5238.82203335,652.398598906
2019-07-03 19:00:00,54247.5162254,11.0819983593,9794.75566892,173.386373801,5730.20945984,61.4724007846
2019-07-03 20:00:00,52503.1758131,0.0,9667.50055959,77.8268382404,5781.5436524,0.0
2019-07-03 21:00:00,47769.204156,0.0,9432.05436372,20.688146874,5976.9345745,0.0
2019-07-03 22:00:00,43989.32908,0.0,8902.499365,10.8366483626,5649.74694551,0.0
