",South,South,South,Mid,Mid,Mid,North,North,North"
"Timestep,Gas,PV,PHS,Gas,PV,PHS,Gas,PV,PHS"
147.00,4407.00,0.00,0.00,39333.00,0.00,0.00,11221.00,0.00,0.00
148.00,4169.00,0.00,0.00,39960.00,0.00,0.00,11274.00,0.00,0.00
149.00,4034.00,0.00,0.00,39249.00,0.00,0.00,11367.00,0.00,0.00
150.00,4006.00,0.00,0.00,37622.00,0.00,0.00,11669.00,0.00,0.00
151.00,3986.00,0.00,0.00,39094.00,0.00,0.00,12030.00,0.00,0.00
152.00,3983.00,60.00,0.00,41658.00,0.00,0.00,12377.00,0.00,0.00
153.00,3194.80,772.20,0.00,44325.00,510.00,0.00,12693.00,0.00,0.00
154.00,1798.20,2290.80,0.00,45414.00,1940.00,0.00,13194.20,8.80,0.00
155.00,1262.80,3310.20,0.00,47569.00,3045.00,0.00,13439.80,51.20,0.00
156.00,1196.40,3732.60,0.00,46922.00,3645.00,0.00,13537.00,76.00,0.00
157.00,1277.00,3876.00,0.00,44214.00,4355.00,0.00,13517.00,54.00,0.00
158.00,1337.60,3848.40,0.00,44277.00,2955.00,0.00,13683.00,10.00,0.00
159.00,1412.60,3578.40,0.00,45644.00,1575.00,0.00,14193.00,0.00,0.00
160.00,2102.80,2803.20,0.00,49285.00,225.00,0.00,14653.00,0.00,0.00
161.00,3560.60,1280.40,0.00,55073.00,0.00,0.00,14675.00,0.00,0.00
162.00,4706.40,222.60,0.00,56862.00,0.00,0.00,14574.00,0.00,0.00
163.00,5743.80,7.20,0.00,55884.00,0.00,0.00,14352.00,0.00,0.00
164.00,6157.00,0.00,0.00,53718.00,0.00,0.00,14027.00,0.00,0.00
165.00,6268.00,0.00,0.00,52929.00,0.00,0.00,13469.00,0.00,0.00
166.00,6320.00,0.00,0.00,53572.00,0.00,0.00,12855.00,0.00,0.00
167.00,6080.00,0.00,0.00,49762.00,0.00,0.00,12205.00,0.00,0.00
168.00,5655.00,0.00,0.00,46036.00,0.00,0.00,11739.00,0.00,0.00
169.00,5104.00,0.00,0.00,44175.00,0.00,0.00,11493.00,0.00,0.00
170.00,4576.00,0.00,0.00,44035.00,0.00,0.00,11366.00,0.00,0.00
171.00,4301.00,0.00,0.00,44785.00,0.00,0.00,11404.00,0.00,0.00
172.00,4122.00,0.00,0.00,45928.00,0.00,0.00,11551.00,0.00,0.00
173.00,4055.00,0.00,0.00,49054.00,0.00,0.00,12070.00,0.00,0.00
174.00,4015.00,0.00,0.00,56123.00,0.00,0.00,13541.00,0.00,0.00
175.00,4158.00,0.00,0.00,64155.00,0.00,0.00,14887.00,0.00,0.00
176.00,4591.40,57.60,0.00,66962.00,0.00,0.00,15293.00,0.00,0.00
177.00,4742.60,797.40,0.00,65987.00,1385.00,0.00,15239.00,0.00,0.00
178.00,4024.00,2337.00,0.00,65198.00,3040.00,0.00,15337.20,0.80,0.00
179.00,3368.40,3366.60,0.00,65638.00,3875.00,0.00,15406.00,6.00,0.00
180.00,3078.20,3763.80,0.00,65497.00,3640.00,0.00,15386.40,13.60,0.00
181.00,3004.40,3903.60,0.00,64827.00,3735.00,0.00,15395.20,16.80,0.00
182.00,2605.80,3847.20,0.00,64967.00,2260.00,0.00,15475.40,15.60,0.00
183.00,3062.20,3592.80,0.00,65330.00,980.00,0.00,15870.20,2.80,0.00
184.00,4040.20,2821.80,0.00,66703.00,30.00,0.00,16027.00,0.00,0.00
185.00,5486.20,1318.80,0.00,69531.00,0.00,0.00,16062.00,0.00,0.00
186.00,6587.80,223.20,0.00,69334.00,0.00,0.00,15729.00,0.00,0.00
187.00,7185.20,7.80,0.00,67479.00,0.00,0.00,15372.00,0.00,0.00
188.00,7355.00,0.00,0.00,63209.00,0.00,0.00,14782.00,0.00,0.00
189.00,7323.00,0.00,0.00,60854.00,0.00,0.00,14076.00,0.00,0.00
190.00,7034.00,0.00,0.00,58886.00,0.00,0.00,13306.00,0.00,0.00
191.00,6738.00,0.00,0.00,53665.00,0.00,0.00,12376.00,0.00,0.00
192.00,6380.00,0.00,0.00,49588.00,0.00,0.00,11853.00,0.00,0.00
193.00,5546.00,0.00,0.00,47677.00,0.00,0.00,11550.00,0.00,0.00
194.00,5000.00,0.00,0.00,47009.00,0.00,0.00,11469.00,0.00,0.00
195.00,4643.00,0.00,0.00,47467.00,0.00,0.00,11493.00,0.00,0.00
196.00,4472.00,0.00,0.00,49012.00,0.00,0.00,11652.00,0.00,0.00
197.00,4379.00,0.00,0.00,51358.00,0.00,0.00,12179.00,0.00,0.00
198.00,4336.00,0.00,0.00,58307.00,0.00,0.00,13762.00,0.00,0.00
199.00,4478.00,0.00,0.00,65338.00,0.00,0.00,15194.00,0.00,0.00
200.00,4769.60,59.40,0.00,68335.00,0.00,0.00,15602.00,0.00,0.00
201.00,4907.00,771.00,0.00,67782.00,330.00,0.00,15269.00,0.00,0.00
202.00,4176.00,2334.00,0.00,68040.00,1090.00,0.00,15339.20,0.80,0.00
203.00,3433.40,3372.60,0.00,68419.00,1780.00,0.00,15299.20,10.80,0.00
204.00,3119.00,3786.00,0.00,67398.00,2245.00,0.00,15192.40,23.60,0.00
205.00,3041.60,3929.40,0.00,64519.00,4630.00,0.00,15237.60,30.40,0.00
206.00,2583.60,3878.40,0.00,65398.00,3130.00,0.00,15448.00,12.00,0.00
207.00,3013.40,3621.60,0.00,66895.00,1120.00,0.00,15785.00,0.00,0.00
208.00,3934.40,2850.60,0.00,68746.00,45.00,0.00,15901.00,0.00,0.00
209.00,5384.60,1322.40,0.00,71617.00,0.00,0.00,15752.00,0.00,0.00
210.00,6509.80,241.20,0.00,71516.00,0.00,0.00,15332.00,0.00,0.00
211.00,7213.60,8.40,0.00,69551.00,0.00,0.00,14977.00,0.00,0.00
212.00,7463.00,0.00,0.00,65476.00,0.00,0.00,14403.00,0.00,0.00
213.00,7442.00,0.00,0.00,62619.00,0.00,0.00,13676.00,0.00,0.00
214.00,7211.00,0.00,0.00,60564.00,0.00,0.00,12736.00,0.00,0.00
215.00,6861.00,0.00,0.00,55391.00,0.00,0.00,11862.00,0.00,0.00
216.00,6462.00,0.00,0.00,51169.00,0.00,0.00,11300.00,0.00,0.00
217.00,5676.00,0.00,0.00,48945.00,0.00,0.00,11041.00,0.00,0.00
218.00,5080.00,0.00,0.00,48054.00,0.00,0.00,10955.00,0.00,0.00
219.00,4722.00,0.00,0.00,48604.00,0.00,0.00,10923.00,0.00,0.00
220.00,4490.00,0.00,0.00,50111.00,0.00,0.00,11054.00,0.00,0.00
221.00,4404.00,0.00,0.00,52857.00,0.00,0.00,11613.00,0.00,0.00
222.00,4440.00,0.00,0.00,59462.00,0.00,0.00,13104.00,0.00,0.00
