", South, South, South "
"Timestep, Gas, PV, PHS "
492.00,1099.20,3724.80,0.00
493.00,1161.20,3835.80,0.00
494.00,1157.20,3811.80,0.00
495.00,1212.40,3534.60,0.00
496.00,1747.60,2885.40,0.00
497.00,2935.00,1548.00,0.00
498.00,4239.60,362.40,0.00
499.00,5414.40,18.60,0.00
500.00,6032.00,0.00,0.00
501.00,6204.00,0.00,0.00
502.00,6175.00,0.00,0.00
503.00,5993.00,0.00,0.00
504.00,5553.00,0.00,0.00
505.00,4940.00,0.00,0.00
506.00,4524.00,0.00,0.00
507.00,4184.00,0.00,0.00
508.00,4049.00,0.00,0.00
509.00,4021.00,0.00,0.00
510.00,4002.00,0.00,0.00
511.00,4112.00,0.00,0.00
512.00,4546.20,67.80,0.00
513.00,4615.60,818.40,0.00
514.00,3924.40,2397.60,0.00
515.00,3394.60,3380.40,0.00
516.00,3163.80,3766.20,0.00
517.00,3137.20,3880.80,0.00
518.00,2658.20,3847.80,0.00
519.00,3119.80,3631.20,0.00
520.00,3831.00,3054.00,0.00
521.00,5134.40,1704.60,0.00
522.00,6479.60,413.40,0.00
523.00,7046.80,22.20,0.00
524.00,7547.00,0.00,0.00
525.00,7549.00,0.00,0.00
526.00,7350.00,0.00,0.00
527.00,6995.00,0.00,0.00
528.00,6520.00,0.00,0.00
529.00,5718.00,0.00,0.00
530.00,5158.00,0.00,0.00
531.00,4834.00,0.00,0.00
532.00,4579.00,0.00,0.00
533.00,4450.00,0.00,0.00
534.00,4472.00,0.00,0.00
535.00,4573.00,0.00,0.00
536.00,4899.20,70.80,0.00
537.00,4938.80,820.20,0.00
538.00,4281.00,2325.00,0.00
539.00,3833.20,3268.80,0.00
540.00,3565.00,3639.00,0.00
541.00,3592.20,3718.80,0.00
542.00,3130.00,3696.00,0.00
543.00,3429.20,3529.80,0.00
544.00,4101.60,3008.40,0.00
545.00,5281.40,1755.60,0.00
546.00,6575.40,438.60,0.00
547.00,7258.60,23.40,0.00
548.00,7845.00,0.00,0.00
549.00,7849.00,0.00,0.00
550.00,7630.00,0.00,0.00
551.00,7292.00,0.00,0.00
552.00,6758.00,0.00,0.00
553.00,5861.00,0.00,0.00
554.00,5248.00,0.00,0.00
555.00,4891.00,0.00,0.00
556.00,4733.00,0.00,0.00
557.00,4563.00,0.00,0.00
558.00,4571.00,0.00,0.00
559.00,4699.00,0.00,0.00
560.00,5030.80,70.20,0.00
561.00,5121.80,754.20,0.00
562.00,4559.20,2212.80,0.00
563.00,4061.40,3096.60,0.00
564.00,3761.80,3460.20,0.00
565.00,3702.20,3526.80,0.00
566.00,3304.80,3418.20,0.00
567.00,3715.00,3195.00,0.00
568.00,4382.20,2644.80,0.00
569.00,5463.20,1516.80,0.00
570.00,6628.80,403.20,0.00
571.00,7360.40,24.60,0.00
572.00,7968.00,0.00,0.00
573.00,7999.00,0.00,0.00
574.00,7734.00,0.00,0.00
575.00,7394.00,0.00,0.00
576.00,6916.00,0.00,0.00
577.00,6013.00,0.00,0.00
578.00,5326.00,0.00,0.00
579.00,4965.00,0.00,0.00
580.00,4804.00,0.00,0.00
581.00,4652.00,0.00,0.00
582.00,4651.00,0.00,0.00
583.00,4752.00,0.00,0.00
584.00,5079.60,62.40,0.00
585.00,5252.00,678.00,0.00
586.00,4683.80,2077.20,0.00
587.00,4114.00,3018.00,0.00
588.00,3952.00,3369.00,0.00
589.00,3949.20,3415.80,0.00
590.00,3557.00,3333.00,0.00
591.00,4001.20,3040.80,0.00
592.00,4671.80,2446.20,0.00
593.00,5744.80,1366.20,0.00
594.00,6753.40,381.60,0.00
595.00,7317.40,27.60,0.00
596.00,8005.00,0.00,0.00
597.00,8072.00,0.00,0.00
598.00,7835.00,0.00,0.00
599.00,7468.00,0.00,0.00
600.00,7011.00,0.00,0.00
601.00,6095.00,0.00,0.00
602.00,5335.00,0.00,0.00
603.00,4946.00,0.00,0.00
604.00,4830.00,0.00,0.00
605.00,4733.00,0.00,0.00
606.00,4701.00,0.00,0.00
607.00,4784.00,0.00,0.00
608.00,5123.40,63.60,0.00
609.00,5353.20,667.80,0.00
610.00,5157.00,1860.00,0.00
611.00,4592.20,2734.80,0.00
612.00,4280.80,3151.20,0.00
613.00,4315.00,3195.00,0.00
614.00,3930.80,3100.20,0.00
