Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-08 20:00:00,0.00,7322.55,0.00,0.00
2016-01-08 21:00:00,0.00,7034.07,0.00,0.00
2016-01-08 22:00:00,0.00,6738.22,0.00,0.00
2016-01-08 23:00:00,0.00,6379.70,0.00,0.00
2016-01-09 00:00:00,0.00,5545.60,0.00,0.00
2016-01-09 01:00:00,0.00,4999.98,0.00,0.00
2016-01-09 02:00:00,0.00,4643.30,0.00,0.00
2016-01-09 03:00:00,0.00,4471.87,0.00,0.00
2016-01-09 04:00:00,0.00,4378.78,0.00,0.00
2016-01-09 05:00:00,0.00,4336.39,0.00,0.00
2016-01-09 06:00:00,0.00,4478.32,0.00,0.00
2016-01-09 07:00:00,59.32,4769.23,0.00,0.00
2016-01-09 08:00:00,771.26,4907.06,0.00,0.00
2016-01-09 09:00:00,2333.80,4175.85,0.00,0.00
2016-01-09 10:00:00,3372.86,3432.64,0.00,0.00
2016-01-09 11:00:00,3786.07,3118.97,0.00,0.00
2016-01-09 12:00:00,3929.36,3042.04,0.00,0.00
2016-01-09 13:00:00,3878.57,2583.16,0.00,0.00
2016-01-09 14:00:00,3621.67,3013.33,0.00,0.00
2016-01-09 15:00:00,2850.37,3934.85,0.00,0.00
2016-01-09 16:00:00,1322.58,5384.30,0.00,0.00
2016-01-09 17:00:00,241.06,6510.06,0.00,0.00
2016-01-09 18:00:00,8.50,7213.59,0.00,0.00
2016-01-09 19:00:00,0.00,7462.64,0.00,0.00
2016-01-09 20:00:00,0.00,7442.37,0.00,0.00
2016-01-09 21:00:00,0.00,7211.03,0.00,0.00
2016-01-09 22:00:00,0.00,6860.80,0.00,0.00
2016-01-09 23:00:00,0.00,6461.73,0.00,0.00
2016-01-10 00:00:00,0.00,5676.47,0.00,0.00
2016-01-10 01:00:00,0.00,5080.16,0.00,0.00
2016-01-10 02:00:00,0.00,4721.64,0.00,0.00
2016-01-10 03:00:00,0.00,4490.30,0.00,0.00
2016-01-10 04:00:00,0.00,4403.67,0.00,0.00
2016-01-10 05:00:00,0.00,4439.61,0.00,0.00
2016-01-10 06:00:00,0.00,4514.27,0.00,0.00
2016-01-10 07:00:00,52.26,4833.43,0.00,0.00
2016-01-10 08:00:00,714.65,5026.34,0.00,0.00
2016-01-10 09:00:00,2176.36,4343.43,0.00,0.00
2016-01-10 10:00:00,3189.90,3639.56,0.00,0.00
2016-01-10 11:00:00,3546.06,3427.18,0.00,0.00
2016-01-10 12:00:00,3636.92,3363.05,0.00,0.00
2016-01-10 13:00:00,3531.38,2968.13,0.00,0.00
2016-01-10 14:00:00,3169.76,3508.55,0.00,0.00
