,Mid,Mid,South,South,North,North
,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2015-07-17 16:00:00,47245.0901897,11338.1693753404,3515.63916246,2622.585088297926,8796.22545949,531.980919617684
2015-07-17 17:00:00,50890.92704,6626.78055277155,4399.7260315,1535.734054812702,8826.98746257,336.9212490912
2015-07-17 18:00:00,52680.5142045,2584.06500663595,5427.39607979,377.18895492984,8577.09915959,186.193321866188
2015-07-17 19:00:00,53977.907084,40.48555542975,5717.87689818,35.095440139038004,8560.74000062,81.76743764494
2015-07-17 20:00:00,53227.6358556,0.0,5693.98639957,0.0,8679.91182554,25.613896129740002
2015-07-17 21:00:00,48472.526107,0.0,6046.98037676,0.0,8390.47972573,2.955449553432
2015-07-17 22:00:00,44938.6215495,0.0,5701.35964192,0.0,8014.5752572,0.0
2015-07-17 23:00:00,42633.6087618,0.0,5080.1639745,0.0,7711.25239054,0.985149851144
2015-07-18 00:00:00,41688.1595816,0.0,4662.65412681,0.0,7599.32586924,7.881198809152
2015-07-18 01:00:00,41912.0311863,0.0,4383.39257306,0.0,7440.4081619,32.509945087748
2015-07-18 02:00:00,42731.6126402,0.0,4225.78951797,0.0,7200.08792511,65.019890175496
2015-07-18 03:00:00,45124.0602607,0.0,4135.46729927,0.0,7224.17007885,102.45558451896001
2015-07-18 04:00:00,50926.8359866,1065.1823428733999,4098.60108755,0.0,7826.91909433,204.911169037924
2015-07-18 05:00:00,55084.2206217,3026.3143533306497,4173.25824344,23.038305158897998,8508.69001027,372.38664373238
2015-07-18 06:00:00,54114.7065822,6703.425740046499,3852.13526447,315.589970050998,8872.39057934,590.1047608351721
2015-07-18 07:00:00,51517.1805451,10623.0433135917,3450.58213688,1357.693526208354,9056.8877967,797.971379426524
2015-07-18 08:00:00,49476.7831366,14418.8631327901,3070.41901938,2656.74697074165,9161.08195694,971.357753227844
2015-07-18 09:00:00,48259.0507251,16968.295304140098,2650.58923499,3434.1790087720083,9102.03250097,1099.427233876544
2015-07-18 10:00:00,45925.4569833,18613.940252235352,2478.16234575,3802.918475408682,9040.48334582,1162.4768243497522
