sit,,South
Production per timestep [MWh],,Gas plant
stf,t,
2019,488,788.528219071
2019,489,622.308436175
2019,490,358.139215168
2019,491,242.253004608
2019,492,219.800225948
2019,493,232.318071474
2019,494,231.423498047
2019,495,242.593066656
2019,496,349.589143907
2019,497,586.939422114
2019,498,847.914569135
2019,499,1082.97014541
2019,500,1206.44677841
2019,501,1240.73235531
2019,502,1235.01809249
2019,503,1198.5205429
2019,504,1110.59462795
2019,505,988.014473995
2019,506,904.881166575
2019,507,836.863005959
2019,508,809.766340347
2019,509,804.23640859
2019,510,800.36545636
2019,511,822.300852331
2019,512,909.226274977
2019,513,923.149016696
2019,514,784.838840087
2019,515,678.966774709
2019,516,632.714930437
2019,517,627.514814008
2019,518,531.643928966
2019,519,623.945598575
2019,520,766.184752702
2019,521,1026.82650116
2019,522,1295.98421959
2019,523,1409.41409284
2019,524,1509.48703872
2019,525,1509.85570084
2019,526,1470.04019219
2019,527,1399.07273463
2019,528,1303.9579084
2019,529,1143.58988744
2019,530,1031.51660382
2019,531,966.816402258
2019,532,915.756699031
2019,533,889.95035083
2019,534,894.374296236
2019,535,914.65071268
2019,536,979.910486562
2019,537,987.876103321
2019,538,856.103520322
2019,539,766.740063941
2019,540,712.904657786
2019,541,718.407085954
2019,542,625.983824318
2019,543,685.870531309
2019,544,820.266091977
2019,545,1056.23284854
2019,546,1314.99543864
2019,547,1451.75722219
2019,548,1569.02597064
2019,549,1569.76329488
2019,550,1526.07683399
2019,551,1458.42733549
2019,552,1351.69965258
2019,553,1172.16120152
2019,554,1049.58104756
2019,555,978.24492789
2019,556,946.539985815
2019,557,912.623071036
2019,558,914.282050563
2019,559,939.719736647
2019,560,1006.2500562
2019,561,1024.23808109
2019,562,911.860168204
2019,563,812.233965702
2019,564,752.411413037
2019,565,740.566250185
2019,566,661.068177386
2019,567,742.927109055
2019,568,876.405188073
2019,569,1092.62462913
2019,570,1325.74861687
2019,571,1472.10799273
2019,572,1593.54200143
2019,573,1599.80925743
2019,574,1546.72191255
2019,575,1478.70375194
2019,576,1383.22026359
2019,577,1202.57582618
2019,578,1065.24918754
2019,579,992.991412577
2019,580,960.733477325
2019,581,930.318852659
2019,582,930.134521601
2019,583,950.410938045
2019,584,1015.96191157
2019,585,1050.34168008
2019,586,936.800483724
2019,587,822.756465343
2019,588,790.283830822
2019,589,789.792980079
2019,590,711.426013646
2019,591,800.287679243
2019,592,934.366557851
2019,593,1148.91083087
2019,594,1350.75768208
2019,595,1463.41830393
2019,596,1600.91524378
2019,597,1614.37141105
2019,598,1566.998329
2019,599,1493.63456768
2019,600,1402.20636263
2019,601,1218.9812904
2019,602,1067.09249813
2019,603,989.120460347
2019,604,966.079078024
2019,605,946.539985815
2019,606,940.272729823
2019,607,956.862525095
2019,608,1024.70299003
2019,609,1070.64111721
2019,610,1031.51666059
2019,611,918.420904508
2019,612,856.234084618
2019,613,862.955109612
2019,614,786.271739748
2019,615,848.71875062
2019,616,967.8480446
2019,617,1145.65532042
2019,618,1340.69819531
2019,619,1460.10348136
2019,620,1603.86454072
2019,621,1614.37141105
2019,622,1574.74023346
2019,623,1503.40411379
2019,624,1414.92520567
